,Test Date,Species,Trap,AddressNumberAndStreet,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Station,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Year,Month,Day,DaylightDuration,midpt_Lat,midpt_Lon,Spray Date
0,2007-05-29,CULEX PIPIENS/RESTUANS,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,1,88,60,74,10,58,65,0,9,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,0 days 14:56:00.000000000,41.95780944169083,-87.78064599735848,2013-08-16
1,2007-05-29,CULEX RESTUANS,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,1,88,60,74,10,58,65,0,9,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,0 days 14:56:00.000000000,41.95780944169083,-87.78064599735848,2013-08-16
2,2007-05-29,CULEX RESTUANS,T007,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,1,0,1,88,60,74,10,58,65,0,9,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,0 days 14:56:00.000000000,41.982274630447726,-87.80995250291352,2011-07-09
3,2007-05-29,CULEX PIPIENS/RESTUANS,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,0,1,88,60,74,10,58,65,0,9,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,0 days 14:56:00.000000000,41.982274630447726,-87.80995250291352,2011-07-09
4,2007-05-29,CULEX RESTUANS,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,4,0,1,88,60,74,10,58,65,0,9,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,0 days 14:56:00.000000000,41.982274630447726,-87.80995250291352,2011-07-09
5,2007-05-29,CULEX RESTUANS,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,2,0,2,88,65,77,10,59,66,0,12,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000,41.931466768022375,-87.69703534262085,2013-08-08
6,2007-05-29,CULEX RESTUANS,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.65449100000002,8,1,0,2,88,65,77,10,59,66,0,12,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000,41.86012943854224,-87.7032633759398,2013-08-29
7,2007-05-29,CULEX PIPIENS/RESTUANS,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,2,88,65,77,10,59,66,0,12,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000,41.86012943854224,-87.7032633759398,2013-08-29
8,2007-05-29,CULEX RESTUANS,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,2,0,2,88,65,77,10,59,66,0,12,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000,41.86012943854224,-87.7032633759398,2013-08-29
9,2007-05-29,CULEX RESTUANS,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,1,0,2,88,65,77,10,59,66,0,12,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000,41.931466768022375,-87.69703534262085,2013-08-08
10,2007-05-29,CULEX PIPIENS/RESTUANS,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0,2,88,65,77,10,59,66,0,12,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000,41.931466768022375,-87.69703534262085,2013-08-08
11,2007-05-29,CULEX PIPIENS/RESTUANS,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,2,0,2,88,65,77,10,59,66,0,12,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000,41.931466768022375,-87.69703534262085,2013-08-08
12,2007-05-29,CULEX RESTUANS,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,3,0,2,88,65,77,10,59,66,0,12,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000,41.931466768022375,-87.69703534262085,2013-08-08
13,2007-05-29,CULEX PIPIENS/RESTUANS,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,0,2,88,65,77,10,59,66,0,12,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000,41.798583341594615,-87.68103604746935,2013-07-17
14,2007-05-29,CULEX RESTUANS,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,0,2,88,65,77,10,59,66,0,12,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000,41.798583341594615,-87.68103604746935,2013-07-17
15,2007-05-29,CULEX RESTUANS,T091,"1100  S PEORIA ST, Chicago, IL",41.862292,-87.64886,8,1,0,2,88,65,77,10,59,66,0,12,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000,41.86012943854224,-87.7032633759398,2013-08-29
