,Date,Species,Trap,AddressNumberAndStreet,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Station,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Year,Month,Day,DaylightDuration
0,2007-05-29,CULEX PIPIENS/RESTUANS,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,1,88,60,74,10,58,65,0,9,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,0 days 14:56:00.000000000
1,2007-05-29,CULEX RESTUANS,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,1,88,60,74,10,58,65,0,9,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,0 days 14:56:00.000000000
2,2007-05-29,CULEX RESTUANS,T007,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,1,0,1,88,60,74,10,58,65,0,9,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,0 days 14:56:00.000000000
3,2007-05-29,CULEX PIPIENS/RESTUANS,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,0,1,88,60,74,10,58,65,0,9,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,0 days 14:56:00.000000000
4,2007-05-29,CULEX RESTUANS,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,4,0,1,88,60,74,10,58,65,0,9,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,0 days 14:56:00.000000000
5,2007-05-29,CULEX RESTUANS,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,2,0,2,88,65,77,10,59,66,0,12,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000
6,2007-05-29,CULEX RESTUANS,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.65449100000002,8,1,0,2,88,65,77,10,59,66,0,12,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000
7,2007-05-29,CULEX PIPIENS/RESTUANS,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,2,88,65,77,10,59,66,0,12,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000
8,2007-05-29,CULEX RESTUANS,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,2,0,2,88,65,77,10,59,66,0,12,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000
9,2007-05-29,CULEX RESTUANS,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,1,0,2,88,65,77,10,59,66,0,12,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000
10,2007-05-29,CULEX PIPIENS/RESTUANS,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0,2,88,65,77,10,59,66,0,12,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000
11,2007-05-29,CULEX PIPIENS/RESTUANS,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,2,0,2,88,65,77,10,59,66,0,12,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000
12,2007-05-29,CULEX RESTUANS,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,3,0,2,88,65,77,10,59,66,0,12,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000
13,2007-05-29,CULEX PIPIENS/RESTUANS,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,0,2,88,65,77,10,59,66,0,12,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000
14,2007-05-29,CULEX RESTUANS,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,0,2,88,65,77,10,59,66,0,12,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000
15,2007-05-29,CULEX RESTUANS,T091,"1100  S PEORIA ST, Chicago, IL",41.862292,-87.64886,8,1,0,2,88,65,77,10,59,66,0,12,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000
16,2007-05-29,CULEX RESTUANS,T094,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,9,3,0,2,88,65,77,10,59,66,0,12,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000
