date,year,month,week,daylight,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Tmax_wkly,Tmin_wkly,Tavg_wkly,Depart_wkly,DewPoint_wkly,WetBulb_wkly,PrecipTotal_wkly,StnPressure_wkly,SeaLevel_wkly,ResultSpeed_wkly,ResultDir_wkly,AvgSpeed_wkly,Tmax_wkly_lag7,Tmin_wkly_lag7,Tavg_wkly_lag7,Depart_wkly_lag7,DewPoint_wkly_lag7,WetBulb_wkly_lag7,PrecipTotal_wkly_lag7,StnPressure_wkly_lag7,SeaLevel_wkly_lag7,ResultSpeed_wkly_lag7,ResultDir_wkly_lag7,AvgSpeed_wkly_lag7,Tmax_wkly_lag14,Tmin_wkly_lag14,Tavg_wkly_lag14,Depart_wkly_lag14,DewPoint_wkly_lag14,WetBulb_wkly_lag14,PrecipTotal_wkly_lag14,StnPressure_wkly_lag14,SeaLevel_wkly_lag14,ResultSpeed_wkly_lag14,ResultDir_wkly_lag14,AvgSpeed_wkly_lag14,Tmax_wkly_lag21,Tmin_wkly_lag21,Tavg_wkly_lag21,Depart_wkly_lag21,DewPoint_wkly_lag21,WetBulb_wkly_lag21,PrecipTotal_wkly_lag21,StnPressure_wkly_lag21,SeaLevel_wkly_lag21,ResultSpeed_wkly_lag21,ResultDir_wkly_lag21,AvgSpeed_wkly_lag21,Station
2007-05-01,2007,5,18,0 days 14:01:00.000000000,83,50,67,14,51,56,0.0,29.1,29.82,1.7,27,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2007-05-02,2007,5,18,0 days 14:03:00.000000000,59,42,51,-3,42,47,0.0,29.38,30.09,13.0,4,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2007-05-03,2007,5,18,0 days 14:05:00.000000000,66,46,56,2,40,48,0.0,29.39,30.12,11.7,7,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2007-05-04,2007,5,18,0 days 14:08:00.000000000,66,49,58,4,41,50,0.0,29.31,30.05,10.4,8,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2007-05-05,2007,5,18,0 days 14:10:00.000000000,66,53,60,5,38,49,0.0,29.4,30.1,11.7,7,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2007-05-06,2007,5,18,0 days 14:13:00.000000000,68,49,59,4,30,46,0.0,29.57,30.29,14.4,11,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2007-05-07,2007,5,19,0 days 14:15:00.000000000,83,47,65,10,41,54,0.0,29.38,30.12,8.6,18,10.5,70.14285714285714,48.0,59.42857142857143,5.142857142857143,40.42857142857143,50.0,0.0,29.361428571428572,30.084285714285716,10.214285714285714,11.714285714285714,11.828571428571427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2007-05-08,2007,5,19,0 days 14:18:00.000000000,82,54,68,12,58,62,0.0,29.29,30.03,2.7,11,5.8,70.0,48.57142857142857,59.57142857142857,4.857142857142857,41.42857142857143,50.857142857142854,0.0,29.388571428571428,30.114285714285717,10.357142857142858,9.428571428571429,11.342857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2007-05-09,2007,5,19,0 days 14:20:00.000000000,77,61,69,13,59,63,0.13,29.21,29.94,3.9,9,6.2,72.57142857142857,51.285714285714285,62.142857142857146,7.142857142857143,43.857142857142854,53.142857142857146,0.018571428571428572,29.364285714285717,30.092857142857145,9.057142857142859,10.142857142857142,10.314285714285713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2007-05-10,2007,5,19,0 days 14:22:00.000000000,84,56,70,14,52,60,0.0,29.2,29.92,0.7,17,4.1,75.14285714285714,52.714285714285715,64.14285714285714,8.857142857142858,45.57142857142857,54.857142857142854,0.018571428571428572,29.337142857142858,30.064285714285713,7.485714285714287,11.571428571428571,9.199999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2007-05-11,2007,5,19,0 days 14:24:00.000000000,70,51,61,4,42,51,0.0,29.33,30.04,11.3,3,12.9,75.71428571428571,53.0,64.57142857142857,8.857142857142858,45.714285714285715,55.0,0.018571428571428572,29.34,30.062857142857137,7.614285714285715,10.857142857142858,9.499999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2007-05-12,2007,5,19,0 days 14:26:00.000000000,64,46,55,-2,36,46,0.0,29.49,30.2,12.4,3,12.9,75.42857142857143,52.0,63.857142857142854,7.857142857142857,45.42857142857143,54.57142857142857,0.018571428571428572,29.352857142857143,30.077142857142853,7.714285714285714,10.285714285714286,9.628571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2007-05-13,2007,5,19,0 days 14:28:00.000000000,69,43,56,-2,33,46,0.0,29.49,30.24,6.6,14,8.1,75.57142857142857,51.142857142857146,63.42857142857143,7.0,45.857142857142854,54.57142857142857,0.018571428571428572,29.341428571428573,30.069999999999997,6.6000000000000005,10.714285714285714,8.64285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2007-05-14,2007,5,20,0 days 14:30:00.000000000,90,56,73,15,47,59,0.0,29.23,29.97,16.9,21,17.3,76.57142857142857,52.42857142857143,64.57142857142857,7.714285714285714,46.714285714285715,55.285714285714285,0.018571428571428572,29.32,30.048571428571424,7.785714285714286,11.142857142857142,9.614285714285712,70.14285714285714,48.0,59.42857142857143,5.142857142857143,40.42857142857143,50.0,0.0,29.361428571428572,30.084285714285716,10.214285714285714,11.714285714285714,11.828571428571427,,,,,,,,,,,,,,,,,,,,,,,,,1
2007-05-15,2007,5,20,0 days 14:32:00.000000000,80,57,69,11,56,61,0.38,29.13,29.84,8.1,27,12.3,76.28571428571429,52.857142857142854,64.71428571428571,7.571428571428571,46.42857142857143,55.142857142857146,0.07285714285714286,29.29714285714286,30.02142857142857,8.557142857142857,13.428571428571429,10.542857142857141,70.0,48.57142857142857,59.57142857142857,4.857142857142857,41.42857142857143,50.857142857142854,0.0,29.388571428571428,30.114285714285717,10.357142857142858,9.428571428571429,11.342857142857142,,,,,,,,,,,,,,,,,,,,,,,,,1
2007-05-16,2007,5,20,0 days 14:34:00.000000000,66,44,55,-4,43,48,0.14,29.33,30.03,7.8,36,12.2,74.71428571428571,50.42857142857143,62.714285714285715,5.142857142857143,44.142857142857146,53.0,0.07428571428571429,29.314285714285717,30.034285714285712,9.114285714285716,17.285714285714285,11.399999999999997,72.57142857142857,51.285714285714285,62.142857142857146,7.142857142857143,43.857142857142854,53.142857142857146,0.018571428571428572,29.364285714285717,30.092857142857145,9.057142857142859,10.142857142857142,10.314285714285713,,,,,,,,,,,,,,,,,,,,,,,,,1
2007-05-17,2007,5,20,0 days 14:36:00.000000000,62,43,53,-6,32,43,0.0,29.55,30.27,10.5,3,11.3,71.57142857142857,48.57142857142857,60.285714285714285,2.2857142857142856,41.285714285714285,50.57142857142857,0.07428571428571429,29.36428571428572,30.08428571428571,10.514285714285716,15.285714285714286,12.428571428571427,75.14285714285714,52.714285714285715,64.14285714285714,8.857142857142858,45.57142857142857,54.857142857142854,0.018571428571428572,29.337142857142858,30.064285714285713,7.485714285714287,11.571428571428571,9.199999999999998,,,,,,,,,,,,,,,,,,,,,,,,,1
2007-05-18,2007,5,20,0 days 14:38:00.000000000,71,42,57,-3,30,46,0.0,29.53,30.25,5.4,25,7.5,71.71428571428571,47.285714285714285,59.714285714285715,1.2857142857142858,39.57142857142857,49.857142857142854,0.07428571428571429,29.39285714285715,30.11428571428571,9.671428571428574,18.428571428571427,11.657142857142855,75.71428571428571,53.0,64.57142857142857,8.857142857142858,45.714285714285715,55.0,0.018571428571428572,29.34,30.062857142857137,7.614285714285715,10.857142857142858,9.499999999999998,,,,,,,,,,,,,,,,,,,,,,,,,1
